n,method,error
100,"CIV$_{I,X,Y}$",0.19495710739980426
100,CIV$_{I}$,0.36188250659694765
100,NIV$_{1 \textrm{ lag}}$,7.565460569720668
100,NIV$_{3 \textrm{ lags}}$,0.05221465827324836
1000,"CIV$_{I,X,Y}$",0.005388618656072557
1000,CIV$_{I}$,0.01783964916080984
1000,NIV$_{1 \textrm{ lag}}$,0.004819803269724942
1000,NIV$_{3 \textrm{ lags}}$,0.002789861741563868
10000,"CIV$_{I,X,Y}$",0.00064582741775894
10000,CIV$_{I}$,0.0014665314044168076
10000,NIV$_{1 \textrm{ lag}}$,0.0016127919165041683
10000,NIV$_{3 \textrm{ lags}}$,0.00012517780993954097
100,"CIV$_{I,X,Y}$",0.1454324581666769
100,CIV$_{I}$,0.2003156065482413
100,NIV$_{1 \textrm{ lag}}$,0.17744877422598906
100,NIV$_{3 \textrm{ lags}}$,0.11672382547014612
1000,"CIV$_{I,X,Y}$",0.03624914931005942
1000,CIV$_{I}$,0.05092328472218273
1000,NIV$_{1 \textrm{ lag}}$,0.005690089138452595
1000,NIV$_{3 \textrm{ lags}}$,0.006505104466813455
10000,"CIV$_{I,X,Y}$",0.0012157346146857715
10000,CIV$_{I}$,0.0014863771505477536
10000,NIV$_{1 \textrm{ lag}}$,0.0006838454602129206
10000,NIV$_{3 \textrm{ lags}}$,0.00028064051551153306
100,"CIV$_{I,X,Y}$",0.08004256623229997
100,CIV$_{I}$,0.08309540426149988
100,NIV$_{1 \textrm{ lag}}$,0.367111353585483
100,NIV$_{3 \textrm{ lags}}$,0.0775051066160734
1000,"CIV$_{I,X,Y}$",0.0025073012685069276
1000,CIV$_{I}$,0.0029394166994894952
1000,NIV$_{1 \textrm{ lag}}$,0.02140308112332441
1000,NIV$_{3 \textrm{ lags}}$,0.002265774374426245
10000,"CIV$_{I,X,Y}$",0.00034568898343263895
10000,CIV$_{I}$,0.00037018125789125287
10000,NIV$_{1 \textrm{ lag}}$,0.0012105020241061086
10000,NIV$_{3 \textrm{ lags}}$,0.00024376334569111736
100,"CIV$_{I,X,Y}$",0.06303145022206211
100,CIV$_{I}$,0.4184886536344864
100,NIV$_{1 \textrm{ lag}}$,0.04653613821092074
100,NIV$_{3 \textrm{ lags}}$,0.13141414587197353
1000,"CIV$_{I,X,Y}$",0.007570019699905828
1000,CIV$_{I}$,0.08295448063298487
1000,NIV$_{1 \textrm{ lag}}$,0.01594252007458911
1000,NIV$_{3 \textrm{ lags}}$,0.0030602016309363303
10000,"CIV$_{I,X,Y}$",0.00047961937864409034
10000,CIV$_{I}$,0.005380316140070309
10000,NIV$_{1 \textrm{ lag}}$,0.0004735145025377453
10000,NIV$_{3 \textrm{ lags}}$,0.00024289957591444242
100,"CIV$_{I,X,Y}$",0.03067535431393186
100,CIV$_{I}$,0.030240644225049018
100,NIV$_{1 \textrm{ lag}}$,0.16168664536394092
100,NIV$_{3 \textrm{ lags}}$,0.016241265800611457
1000,"CIV$_{I,X,Y}$",0.0018245747383413325
1000,CIV$_{I}$,0.001870723105629141
1000,NIV$_{1 \textrm{ lag}}$,0.010374732648958312
1000,NIV$_{3 \textrm{ lags}}$,0.0022463518074015663
10000,"CIV$_{I,X,Y}$",9.555883233905148e-05
10000,CIV$_{I}$,0.00012094332333548788
10000,NIV$_{1 \textrm{ lag}}$,0.00037306780708656564
10000,NIV$_{3 \textrm{ lags}}$,4.7868756397470256e-05
100,"CIV$_{I,X,Y}$",0.022772170391912195
100,CIV$_{I}$,0.0747271078511743
100,NIV$_{1 \textrm{ lag}}$,0.4205010003488038
100,NIV$_{3 \textrm{ lags}}$,0.01043319481379971
1000,"CIV$_{I,X,Y}$",0.0009661441926357694
1000,CIV$_{I}$,0.006385404538284673
1000,NIV$_{1 \textrm{ lag}}$,0.004904334286701002
1000,NIV$_{3 \textrm{ lags}}$,0.0006583910527389268
10000,"CIV$_{I,X,Y}$",0.00019332746131862897
10000,CIV$_{I}$,0.0009969939375882439
10000,NIV$_{1 \textrm{ lag}}$,0.00048121475618324616
10000,NIV$_{3 \textrm{ lags}}$,5.166306343190439e-05
100,"CIV$_{I,X,Y}$",0.06099926559219928
100,CIV$_{I}$,0.12882025369536737
100,NIV$_{1 \textrm{ lag}}$,0.5106464288615676
100,NIV$_{3 \textrm{ lags}}$,0.04395331752509624
1000,"CIV$_{I,X,Y}$",0.007142992340989999
1000,CIV$_{I}$,0.013206028222396521
1000,NIV$_{1 \textrm{ lag}}$,0.5222679262900891
1000,NIV$_{3 \textrm{ lags}}$,0.003132327991861848
10000,"CIV$_{I,X,Y}$",0.0005745679133959919
10000,CIV$_{I}$,0.001896465470298224
10000,NIV$_{1 \textrm{ lag}}$,0.0007151009806326709
10000,NIV$_{3 \textrm{ lags}}$,0.00038264268215858487
100,"CIV$_{I,X,Y}$",0.0600612088874989
100,CIV$_{I}$,0.06336866962309645
100,NIV$_{1 \textrm{ lag}}$,1.0712525263835557
100,NIV$_{3 \textrm{ lags}}$,0.03398376470388185
1000,"CIV$_{I,X,Y}$",0.004521737575890778
1000,CIV$_{I}$,0.005134613805228897
1000,NIV$_{1 \textrm{ lag}}$,0.012964273678743154
1000,NIV$_{3 \textrm{ lags}}$,0.000807751487190367
10000,"CIV$_{I,X,Y}$",0.0011702338485882324
10000,CIV$_{I}$,0.0014300610426454927
10000,NIV$_{1 \textrm{ lag}}$,0.0019178761738287513
10000,NIV$_{3 \textrm{ lags}}$,0.0002163176863315209
100,"CIV$_{I,X,Y}$",0.06421759603418106
100,CIV$_{I}$,0.8242925553484864
100,NIV$_{1 \textrm{ lag}}$,0.4974631629003003
100,NIV$_{3 \textrm{ lags}}$,0.08066800261254412
1000,"CIV$_{I,X,Y}$",0.015429688641662526
1000,CIV$_{I}$,0.07354175417240152
1000,NIV$_{1 \textrm{ lag}}$,0.007549029804162985
1000,NIV$_{3 \textrm{ lags}}$,0.0025020227849860354
10000,"CIV$_{I,X,Y}$",0.0009713999405707247
