delta,n,method,error
0.0,100,TS-NIV,0.24917334898494642
0.0,500,TS-NIV,0.021129117418945055
0.0,1000,TS-NIV,0.37318642247605555
0.0,5000,TS-NIV,22.067576606834983
0.0,10000,TS-NIV,0.17715139937037527
0.0,50000,TS-NIV,446.0450896830913
0.01,100,TS-NIV,0.0006756218071745806
0.01,500,TS-NIV,0.5781006056614393
0.01,1000,TS-NIV,5.850960001220113
0.01,5000,TS-NIV,1.5332414391427691
0.01,10000,TS-NIV,99.2060453229816
0.01,50000,TS-NIV,0.015618232661455112
0.1,100,TS-NIV,5.771791697167512
0.1,500,TS-NIV,55851.44327857642
0.1,1000,TS-NIV,216.55230593866463
0.1,5000,TS-NIV,0.2910898673566086
0.1,10000,TS-NIV,4.341711678417106
0.1,50000,TS-NIV,0.5466830983751643
0.5,100,TS-NIV,0.7161630754028545
0.5,500,TS-NIV,0.0021657237866285818
0.5,1000,TS-NIV,0.34310089745153305
0.5,5000,TS-NIV,0.0003546160984197106
0.5,10000,TS-NIV,0.017985008587644062
0.5,50000,TS-NIV,0.08018090989204768
1.0,100,TS-NIV,494.21057581565304
1.0,500,TS-NIV,0.5359395769755422
1.0,1000,TS-NIV,0.00923432462328035
1.0,5000,TS-NIV,0.0032388512108061382
1.0,10000,TS-NIV,0.0014323226889338134
1.0,50000,TS-NIV,0.0016093619541864856
0.0,100,TS-NIV,0.04289688108208234
0.0,500,TS-NIV,42.17971964134291
0.0,1000,TS-NIV,1.046205012152025
0.0,5000,TS-NIV,65633.14630382626
0.0,10000,TS-NIV,0.605881059598763
0.0,50000,TS-NIV,1.600959819562314
0.01,100,TS-NIV,1.96766647603214e-05
0.01,500,TS-NIV,0.08979798669425786
0.01,1000,TS-NIV,0.5542572575538521
0.01,5000,TS-NIV,6.398679161575938
0.01,10000,TS-NIV,178.41347629599576
0.01,50000,TS-NIV,2.0465608664158843
0.1,100,TS-NIV,3.3630401895659228
0.1,500,TS-NIV,0.7245113772196997
0.1,1000,TS-NIV,16.958605517396492
0.1,5000,TS-NIV,3.842478371251314
0.1,10000,TS-NIV,9.811573105125909
0.1,50000,TS-NIV,7.491840516782389
0.5,100,TS-NIV,0.12809757486379494
0.5,500,TS-NIV,1.0462139588170982
0.5,1000,TS-NIV,0.18145943096562117
0.5,5000,TS-NIV,0.0021332300008870342
0.5,10000,TS-NIV,0.11373919791159401
0.5,50000,TS-NIV,0.0016882551734662909
1.0,100,TS-NIV,0.2745746498528733
1.0,500,TS-NIV,0.4734484702917876
1.0,1000,TS-NIV,0.035102763086111134
1.0,5000,TS-NIV,0.001598921627050681
1.0,10000,TS-NIV,0.006128268002988328
1.0,50000,TS-NIV,1.803446864739898e-05
0.0,100,TS-NIV,1.5328037372940537
0.0,500,TS-NIV,1.0120462058745665
0.0,1000,TS-NIV,0.010343897093384529
0.0,5000,TS-NIV,0.002079944132598648
0.0,10000,TS-NIV,28.74971097765777
0.0,50000,TS-NIV,7.096229926090879
0.01,100,TS-NIV,0.1323012078190777
0.01,500,TS-NIV,96.91416447917103
0.01,1000,TS-NIV,6.551350054557883
0.01,5000,TS-NIV,1.5036396977199076
0.01,10000,TS-NIV,0.6072085884105154
0.01,50000,TS-NIV,0.007811217712921139
0.1,100,TS-NIV,1.1416594178038826
0.1,500,TS-NIV,1.7779986611650993
0.1,1000,TS-NIV,0.8928490834765948
0.1,5000,TS-NIV,0.0072667202353090465
0.1,10000,TS-NIV,0.06629231779976896
0.1,50000,TS-NIV,0.013057154160680307
0.5,100,TS-NIV,0.0027159459197843823
0.5,500,TS-NIV,0.11406982157328949
0.5,1000,TS-NIV,0.0046693727400626325
0.5,5000,TS-NIV,0.007623116117514948
0.5,10000,TS-NIV,0.0028561232588156468
0.5,50000,TS-NIV,0.00034108161364212173
1.0,100,TS-NIV,0.017588737288915017
1.0,500,TS-NIV,0.014440058220672349
1.0,1000,TS-NIV,0.013014154506863895
1.0,5000,TS-NIV,0.1072930526576722
1.0,10000,TS-NIV,0.0007074926151144165
1.0,50000,TS-NIV,6.3465266679685385e-06
0.0,100,TS-NIV,0.0002554280318948522
0.0,500,TS-NIV,1.3776787311884824
0.0,1000,TS-NIV,77.71134734780564
0.0,5000,TS-NIV,0.3313390058766822
0.0,10000,TS-NIV,1.690275466170534
0.0,50000,TS-NIV,3.4607314312512214
0.01,100,TS-NIV,0.22551172413326553
0.01,500,TS-NIV,0.04796548897297939
0.01,1000,TS-NIV,4.203238590539429
0.01,5000,TS-NIV,1.4832616333041888
0.01,10000,TS-NIV,7.765493234407385
0.01,50000,TS-NIV,4.407718826973517
0.1,100,TS-NIV,0.1972075129635831
0.1,500,TS-NIV,11.052135129036575
0.1,1000,TS-NIV,202.82170950357693
0.1,5000,TS-NIV,0.4143524361901698
0.1,10000,TS-NIV,16.12386840276608
0.1,50000,TS-NIV,1.2911612590765151
0.5,100,TS-NIV,125.37062971503346
0.5,500,TS-NIV,758.0964071880982
0.5,1000,TS-NIV,0.30193711511622134
0.5,5000,TS-NIV,1.4020626486301289
0.5,10000,TS-NIV,0.18376286035712663
0.5,50000,TS-NIV,0.48744190281384897
1.0,100,TS-NIV,290.8685966497126
1.0,500,TS-NIV,151.78203449847453
1.0,1000,TS-NIV,0.3344719372864892
1.0,5000,TS-NIV,1.5887820632973375
1.0,10000,TS-NIV,0.06392705042230223
1.0,50000,TS-NIV,0.0038716043753860485
0.0,100,TS-NIV,2.731080281637548
0.0,500,TS-NIV,1.0075830523789187
0.0,1000,TS-NIV,0.017662157580751767
0.0,5000,TS-NIV,325.7296364620392
0.0,10000,TS-NIV,2.8919651053149575
0.0,50000,TS-NIV,0.2667159460461678
0.01,100,TS-NIV,0.2850232385926362
0.01,500,TS-NIV,0.0355413708253668
0.01,1000,TS-NIV,15.285759486972122
0.01,5000,TS-NIV,564805.6680309535
0.01,10000,TS-NIV,3.5311616654794844
0.01,50000,TS-NIV,0.03886896589449639
0.1,100,TS-NIV,1.209833223019965
0.1,500,TS-NIV,0.5180492756626134
0.1,1000,TS-NIV,28.938035867570868
0.1,5000,TS-NIV,13.439527695170352
0.1,10000,TS-NIV,0.7549364982378906
0.1,50000,TS-NIV,1.4238310694846883
0.5,100,TS-NIV,2.136075614746694
0.5,500,TS-NIV,35.10587177321576
0.5,1000,TS-NIV,0.2754883007381552
0.5,5000,TS-NIV,0.003724611976037665
0.5,10000,TS-NIV,0.023681794874032172
0.5,50000,TS-NIV,0.5372682965917527
1.0,100,TS-NIV,168.75665218567005
1.0,500,TS-NIV,0.009236495360125455
1.0,1000,TS-NIV,4.26607344701587
1.0,5000,TS-NIV,0.015516097280223694
1.0,10000,TS-NIV,0.0005105418037101367
1.0,50000,TS-NIV,5.199439414353562e-06
0.0,100,TS-NIV,0.018617101134178214
0.0,500,TS-NIV,0.47081091940758557
0.0,1000,TS-NIV,8.197664874188689
0.0,5000,TS-NIV,2.502813403488088
0.0,10000,TS-NIV,0.03592077298882962
0.0,50000,TS-NIV,7.92813546960462
0.01,100,TS-NIV,635.6065819509645
0.01,500,TS-NIV,0.10258909758287102
0.01,1000,TS-NIV,7.911990482134474
0.01,5000,TS-NIV,15.73678488597737
0.01,10000,TS-NIV,2.4588846630520815
0.01,50000,TS-NIV,2.38727468044549
0.1,100,TS-NIV,0.3908318054905424
0.1,500,TS-NIV,12.308627081578903
0.1,1000,TS-NIV,29.558009280294492
0.1,5000,TS-NIV,5.699824830300111
0.1,10000,TS-NIV,54.86773768675977
0.1,50000,TS-NIV,0.09949061377917649
0.5,100,TS-NIV,1.5504579584110638
0.5,500,TS-NIV,3.4014502981989123
0.5,1000,TS-NIV,1.1839975915016425
0.5,5000,TS-NIV,0.20564141885454373
0.5,10000,TS-NIV,0.0023205245602536764
0.5,50000,TS-NIV,0.02092428718850487
1.0,100,TS-NIV,0.08700923340384553
1.0,500,TS-NIV,0.008564091505760848
1.0,1000,TS-NIV,0.006507933938176774
1.0,5000,TS-NIV,0.010887316373427923
1.0,10000,TS-NIV,0.002392439001984409
1.0,50000,TS-NIV,0.0033090401810852653
0.0,100,TS-NIV,0.24569816338555664
0.0,500,TS-NIV,15.857968925923617
0.0,1000,TS-NIV,0.029288887650333616
0.0,5000,TS-NIV,0.2475358502809028
0.0,10000,TS-NIV,18.413807028915652
0.0,50000,TS-NIV,0.6839699882441025
0.01,100,TS-NIV,1.0951579766658586
0.01,500,TS-NIV,0.15703909901343693
0.01,1000,TS-NIV,0.4113959500004287
0.01,5000,TS-NIV,0.0003043114196211277
0.01,10000,TS-NIV,0.011146756387527174
0.01,50000,TS-NIV,0.02288915118479319
0.1,100,TS-NIV,2.0575637435398098
0.1,500,TS-NIV,0.003920874591709375
0.1,1000,TS-NIV,64463.827599256154
0.1,5000,TS-NIV,0.9784459017097783
0.1,10000,TS-NIV,0.006404679491818945
0.1,50000,TS-NIV,0.21312600262556852
0.5,100,TS-NIV,159.6965008329532
0.5,500,TS-NIV,0.027273395002046008
0.5,1000,TS-NIV,10.152907717917302
0.5,5000,TS-NIV,0.005891230699625623
0.5,10000,TS-NIV,0.09928073571904691
0.5,50000,TS-NIV,2.112894288482681
1.0,100,TS-NIV,0.15145484207183985
1.0,500,TS-NIV,27.224927641385978
1.0,1000,TS-NIV,0.01939720134164839
1.0,5000,TS-NIV,0.006422008575356523
1.0,10000,TS-NIV,0.000504703538602746
1.0,50000,TS-NIV,1.2357489676809435e-05
0.0,100,TS-NIV,0.0729081992083506
0.0,500,TS-NIV,6.052660686310456
0.0,1000,TS-NIV,11.68409280524361
0.0,5000,TS-NIV,0.3100234804956038
0.0,10000,TS-NIV,3.5972601759330054
0.0,50000,TS-NIV,73.461119757451
0.01,100,TS-NIV,0.4161814356691989
0.01,500,TS-NIV,0.06067277243027255
0.01,1000,TS-NIV,0.03225150137049076
0.01,5000,TS-NIV,0.5677402887545454
0.01,10000,TS-NIV,0.2766528947322491
0.01,50000,TS-NIV,2.191419528850506
0.1,100,TS-NIV,0.3453584738618806
0.1,500,TS-NIV,1.4257381947235017
0.1,1000,TS-NIV,0.06988096379448375
0.1,5000,TS-NIV,1.2120847553553844
0.1,10000,TS-NIV,7.384178549227686
0.1,50000,TS-NIV,1.5358298473155265
0.5,100,TS-NIV,2.655824097008932
0.5,500,TS-NIV,0.012371166120237462
0.5,1000,TS-NIV,0.1498870245705963
0.5,5000,TS-NIV,0.005230276916591066
0.5,10000,TS-NIV,0.3046941414411455
0.5,50000,TS-NIV,0.02817906445415164
1.0,100,TS-NIV,0.1828989805976129
1.0,500,TS-NIV,0.008518546067309962
1.0,1000,TS-NIV,0.01641477772367107
1.0,5000,TS-NIV,0.002637087308047885
1.0,10000,TS-NIV,0.0018165804185082584
1.0,50000,TS-NIV,8.842816147937646e-05
0.0,100,TS-NIV,2.041133345779531
0.0,500,TS-NIV,3.10162055615997
0.0,1000,TS-NIV,17.17663632636768
0.0,5000,TS-NIV,0.7520189899436117
0.0,10000,TS-NIV,2.410885141447694
0.0,50000,TS-NIV,11.722946899981382
0.01,100,TS-NIV,3.598032048143706
0.01,500,TS-NIV,16.7483559241681
0.01,1000,TS-NIV,100.14929383663022
0.01,5000,TS-NIV,54027.19317412666
0.01,10000,TS-NIV,6.982813642332457
0.01,50000,TS-NIV,0.2064132635451173
0.1,100,TS-NIV,0.08567824705778802
0.1,500,TS-NIV,3.171402363531671
0.1,1000,TS-NIV,2.4702082976406374
0.1,5000,TS-NIV,0.1383078547733013
0.1,10000,TS-NIV,0.0030802307432683624
0.1,50000,TS-NIV,0.9611993877598684
0.5,100,TS-NIV,0.07405311527687825
0.5,500,TS-NIV,38.095051534764
0.5,1000,TS-NIV,0.004082501197300706
0.5,5000,TS-NIV,0.0002654798853942987
0.5,10000,TS-NIV,0.00508648733584136
0.5,50000,TS-NIV,0.00048092620937948587
1.0,100,TS-NIV,0.08661151362597883
1.0,500,TS-NIV,0.01855498903097043
1.0,1000,TS-NIV,0.021173518654575934
1.0,5000,TS-NIV,0.0015239966274014042
1.0,10000,TS-NIV,6.768887843547443e-08
1.0,50000,TS-NIV,4.092770612198813e-05
0.0,100,TS-NIV,1.4228212407114633
0.0,500,TS-NIV,1.0314732855988609
0.0,1000,TS-NIV,9457.736058243092
0.0,5000,TS-NIV,31.812673980682472
0.0,10000,TS-NIV,0.453304151390185
0.0,50000,TS-NIV,0.017101551129626136
0.01,100,TS-NIV,20.330765632447445
0.01,500,TS-NIV,20.850058736379196
0.01,1000,TS-NIV,7.821258018431523
0.01,5000,TS-NIV,0.29931713717066855
0.01,10000,TS-NIV,0.02514693273563693
0.01,50000,TS-NIV,1.899573627549127
0.1,100,TS-NIV,3.2608362987421313
0.1,500,TS-NIV,0.0022400859404216314
0.1,1000,TS-NIV,0.005003007200937503
0.1,5000,TS-NIV,1.6155078582691484
0.1,10000,TS-NIV,13.290277182721836
0.1,50000,TS-NIV,0.651905694086123
0.5,100,TS-NIV,0.012868884982279592
0.5,500,TS-NIV,0.1009032053105978
0.5,1000,TS-NIV,0.028318931921318964
0.5,5000,TS-NIV,0.0031671018927128987
0.5,10000,TS-NIV,0.001571889597412216
0.5,50000,TS-NIV,0.0003457433320287073
1.0,100,TS-NIV,7.743961007016924
1.0,500,TS-NIV,5.7718066309990395
1.0,1000,TS-NIV,0.08673004137434603
1.0,5000,TS-NIV,0.42210911086916714
1.0,10000,TS-NIV,0.1301133647458424
1.0,50000,TS-NIV,0.03252260449816312
0.0,100,TS-NIV,0.016471260462939542
0.0,500,TS-NIV,0.4097895089119502
0.0,1000,TS-NIV,0.13228655416482438
0.0,5000,TS-NIV,4.260236303085392
0.0,10000,TS-NIV,0.3395594080933779
0.0,50000,TS-NIV,0.5917060403496266
0.01,100,TS-NIV,5.013195932758715
0.01,500,TS-NIV,0.03725211850816049
0.01,1000,TS-NIV,8.832118028125567
0.01,5000,TS-NIV,0.7232845929642735
0.01,10000,TS-NIV,1.7305429960011063
0.01,50000,TS-NIV,0.01715201628464942
0.1,100,TS-NIV,0.014135707797845657
0.1,500,TS-NIV,1.109612952096159
0.1,1000,TS-NIV,0.01969853338558753
0.1,5000,TS-NIV,0.010885155388813305
0.1,10000,TS-NIV,2.867265921456574
0.1,50000,TS-NIV,2.2489864974122646
0.5,100,TS-NIV,162.76199369356442
0.5,500,TS-NIV,0.31279392938254463
0.5,1000,TS-NIV,0.14305752218269127
0.5,5000,TS-NIV,0.009027626902648146
0.5,10000,TS-NIV,0.009525688899394664
0.5,50000,TS-NIV,0.020697785865928423
1.0,100,TS-NIV,0.3504248668953378
1.0,500,TS-NIV,22.978219793036246
1.0,1000,TS-NIV,0.4456103995548018
1.0,5000,TS-NIV,0.0007739016975603964
1.0,10000,TS-NIV,0.013788937579282025
1.0,50000,TS-NIV,8.1315431732561e-06
0.0,100,TS-NIV,1.1886530737111063
0.0,500,TS-NIV,0.004644083481335441
0.0,1000,TS-NIV,1.0005152010565663
0.0,5000,TS-NIV,1.2051212564901737
0.0,10000,TS-NIV,0.029695238711375985
0.0,50000,TS-NIV,0.03824256436310801
0.01,100,TS-NIV,0.003061890038349924
0.01,500,TS-NIV,0.035544653251526497
0.01,1000,TS-NIV,1.5951755494213002
0.01,5000,TS-NIV,0.2974665175352807
0.01,10000,TS-NIV,0.2110449001869123
0.01,50000,TS-NIV,0.12620193282282666
0.1,100,TS-NIV,20.49887039019542
0.1,500,TS-NIV,1.0016752943525757
0.1,1000,TS-NIV,32.75047108626096
0.1,5000,TS-NIV,0.06812889136472434
0.1,10000,TS-NIV,1.3883840035052786
0.1,50000,TS-NIV,0.00657207824561487
0.5,100,TS-NIV,0.43560184741975283
0.5,500,TS-NIV,9.286854875049807
0.5,1000,TS-NIV,0.010378618946302692
0.5,5000,TS-NIV,0.013945431088470586
0.5,10000,TS-NIV,0.0997527448600085
0.5,50000,TS-NIV,0.03269200389891853
1.0,100,TS-NIV,0.35990262509552795
1.0,500,TS-NIV,0.0007025254861450965
1.0,1000,TS-NIV,0.0037841250205157637
1.0,5000,TS-NIV,0.005520286682318682
1.0,10000,TS-NIV,0.000123348063421422
1.0,50000,TS-NIV,4.505490895040146e-06
0.0,100,TS-NIV,0.05756316851074474
0.0,500,TS-NIV,0.5611015294379971
0.0,1000,TS-NIV,0.0435065266851148
0.0,5000,TS-NIV,4.213945208592817
0.0,10000,TS-NIV,0.30075572693739694
0.0,50000,TS-NIV,0.07199412334137606
0.01,100,TS-NIV,0.38936966496078745
0.01,500,TS-NIV,1.8626482903585557
0.01,1000,TS-NIV,65.20231103841404
0.01,5000,TS-NIV,0.8520571099578722
0.01,10000,TS-NIV,35.76479369804088
0.01,50000,TS-NIV,1.124411317987276
0.1,100,TS-NIV,8.129454849312467
0.1,500,TS-NIV,1.2357211964624912
0.1,1000,TS-NIV,0.8780544236180572
0.1,5000,TS-NIV,0.3999669084563046
0.1,10000,TS-NIV,0.10245336857819996
0.1,50000,TS-NIV,0.01747185976425835
0.5,100,TS-NIV,0.05113240575734879
0.5,500,TS-NIV,0.1631929993968841
0.5,1000,TS-NIV,3104.7677265103252
0.5,5000,TS-NIV,1.2200331846926573
0.5,10000,TS-NIV,0.00036357036019846406
0.5,50000,TS-NIV,0.0319804496189039
1.0,100,TS-NIV,12.39995385335606
1.0,500,TS-NIV,0.09929466536836795
1.0,1000,TS-NIV,0.0066125100081988256
1.0,5000,TS-NIV,0.024818836168238576
1.0,10000,TS-NIV,0.0021637317493087937
1.0,50000,TS-NIV,0.0003249411818164607
0.0,100,TS-NIV,0.5277500634029497
0.0,500,TS-NIV,0.6580106689835941
0.0,1000,TS-NIV,105.42085168606842
0.0,5000,TS-NIV,2.7774954035329062
0.0,10000,TS-NIV,24.334408152296124
0.0,50000,TS-NIV,15.545028335861302
0.01,100,TS-NIV,0.03063847398462185
0.01,500,TS-NIV,1.5291017213222828
0.01,1000,TS-NIV,0.1719123140565827
0.01,5000,TS-NIV,15.151799938434426
0.01,10000,TS-NIV,1.543267925297224
0.01,50000,TS-NIV,0.29010881775018094
0.1,100,TS-NIV,6.282381486972554
0.1,500,TS-NIV,58.412550564060425
0.1,1000,TS-NIV,13.947205290379689
0.1,5000,TS-NIV,31.935485931839708
0.1,10000,TS-NIV,0.5153918986490615
0.1,50000,TS-NIV,0.0028972159568557538
0.5,100,TS-NIV,28.897410205644004
0.5,500,TS-NIV,0.799986850078324
0.5,1000,TS-NIV,1.6205376043262814
0.5,5000,TS-NIV,0.1384969578641165
0.5,10000,TS-NIV,0.24752612460044815
0.5,50000,TS-NIV,0.004230645163327139
1.0,100,TS-NIV,0.04568640615325504
1.0,500,TS-NIV,0.009325285202070417
1.0,1000,TS-NIV,0.0037011296112554283
1.0,5000,TS-NIV,0.012675367825003917
1.0,10000,TS-NIV,0.005052941193662132
1.0,50000,TS-NIV,0.005273387307448612
0.0,100,TS-NIV,136.89363311645343
0.0,500,TS-NIV,15.16987643210973
0.0,1000,TS-NIV,0.18718803081799132
0.0,5000,TS-NIV,33.35239234853356
0.0,10000,TS-NIV,5.455234812803637
0.0,50000,TS-NIV,0.38914360157862304
0.01,100,TS-NIV,0.1158422484471219
0.01,500,TS-NIV,2.6282247224030426
0.01,1000,TS-NIV,1.0815991922397674
0.01,5000,TS-NIV,0.09820927786751774
0.01,10000,TS-NIV,1.1151685106687577
0.01,50000,TS-NIV,6.222278862899008
0.1,100,TS-NIV,0.5480168954525918
0.1,500,TS-NIV,0.563931427405882
0.1,1000,TS-NIV,3.3503140713477118
0.1,5000,TS-NIV,0.459475404850886
0.1,10000,TS-NIV,0.006531707780998999
0.1,50000,TS-NIV,1.9789981846328417
0.5,100,TS-NIV,0.1754988946079177
0.5,500,TS-NIV,2.8080916913216494
0.5,1000,TS-NIV,0.0038278398196512375
0.5,5000,TS-NIV,30.941369807264266
0.5,10000,TS-NIV,1.2657172459560315
0.5,50000,TS-NIV,5.597515769498216
1.0,100,TS-NIV,0.790830469550102
1.0,500,TS-NIV,0.18427579011705655
1.0,1000,TS-NIV,0.6099012006288085
1.0,5000,TS-NIV,0.11657243247466959
1.0,10000,TS-NIV,0.0027630333529902393
1.0,50000,TS-NIV,0.0014285257304607708
0.0,100,TS-NIV,4.187795687312985
0.0,500,TS-NIV,21.448333272262335
0.0,1000,TS-NIV,11.219917911376301
0.0,5000,TS-NIV,0.5937124168509462
0.0,10000,TS-NIV,0.33640385854589516
0.0,50000,TS-NIV,1.3288935672043627
0.01,100,TS-NIV,9.023035544588206
0.01,500,TS-NIV,128.48047073548872
0.01,1000,TS-NIV,1.6754309881574807
0.01,5000,TS-NIV,0.2904235670386459
0.01,10000,TS-NIV,0.48816847882288394
0.01,50000,TS-NIV,0.7849749587270943
0.1,100,TS-NIV,0.4521048020949448
0.1,500,TS-NIV,86.39103271592074
0.1,1000,TS-NIV,1.6203900565521374
0.1,5000,TS-NIV,3.8653019705717746
0.1,10000,TS-NIV,0.002787098351281208
0.1,50000,TS-NIV,3.0295710621245737
0.5,100,TS-NIV,0.2397872625147986
0.5,500,TS-NIV,0.002604360465285527
0.5,1000,TS-NIV,4.082516446486486
0.5,5000,TS-NIV,0.11297937400672398
0.5,10000,TS-NIV,0.0009316742978543761
0.5,50000,TS-NIV,0.004976500145269791
1.0,100,TS-NIV,0.034809154804073095
1.0,500,TS-NIV,0.874622788692011
1.0,1000,TS-NIV,1.6974894383926922
1.0,5000,TS-NIV,0.06311211564765902
1.0,10000,TS-NIV,0.05214997201016895
1.0,50000,TS-NIV,0.0010922707458944957
0.0,100,TS-NIV,3.804280776859163
0.0,500,TS-NIV,0.035420725887987586
0.0,1000,TS-NIV,0.6118641470871643
0.0,5000,TS-NIV,0.6159579063262883
0.0,10000,TS-NIV,2.1538787260577186
0.0,50000,TS-NIV,825.2842760651488
0.01,100,TS-NIV,68.47715500176022
0.01,500,TS-NIV,0.026924704292773844
0.01,1000,TS-NIV,4.01478554610348
0.01,5000,TS-NIV,13.230617022997025
0.01,10000,TS-NIV,3.2032072968134306
0.01,50000,TS-NIV,0.2770911227129162
0.1,100,TS-NIV,1.1283970619388577
0.1,500,TS-NIV,0.3034391893878711
0.1,1000,TS-NIV,0.0073718138945202405
0.1,5000,TS-NIV,0.15417222819181503
0.1,10000,TS-NIV,0.0027417434543710595
0.1,50000,TS-NIV,0.0075736804439477225
0.5,100,TS-NIV,0.8367045879628326
0.5,500,TS-NIV,0.17877345564325894
0.5,1000,TS-NIV,0.020237007630947074
0.5,5000,TS-NIV,0.027965611840623853
0.5,10000,TS-NIV,0.10445596995099658
0.5,50000,TS-NIV,0.001293847322359139
1.0,100,TS-NIV,21.75142756820675
1.0,500,TS-NIV,0.1357080045609561
1.0,1000,TS-NIV,0.004688757972419119
1.0,5000,TS-NIV,0.0007866918661346076
1.0,10000,TS-NIV,0.002361595859854042
1.0,50000,TS-NIV,0.0019283694449176434
0.0,100,TS-NIV,0.2312957357021975
0.0,500,TS-NIV,0.3362294533108531
0.0,1000,TS-NIV,0.9478286707967889
0.0,5000,TS-NIV,1.060695554626423
0.0,10000,TS-NIV,3.539762127030361
0.0,50000,TS-NIV,0.5505067668674595
0.01,100,TS-NIV,1.0959975663247976
0.01,500,TS-NIV,51.577919563893175
0.01,1000,TS-NIV,0.6008953300087112
0.01,5000,TS-NIV,0.48637752997160966
0.01,10000,TS-NIV,4.667625938650346
