sigmaout,method,rep,rep_pred,beta,beta_rel,error_rel,error
1,CIV,0,49.5,0.0009408937605851234,0.036495918700483854,6.800704064106849,2.1943524613488736
1,CIV,1,49.5,0.002476963733007514,0.06201804294774065,1.2320461934155862,1.2267292629600144
1,CIV,2,49.5,0.002397136728228296,0.0958390237600145,100.51774881263083,1.5084527576829665
1,CIV,3,49.5,0.00014492270021506165,0.03729480757433375,1.5721347935036387,1.5264965963273402
1,CIV,4,49.5,0.0007304784747743638,0.030480138919167607,1.4789711567618173,1.4475219961436432
1,CIV,5,49.5,0.0001979035006535227,0.06206904307723347,1.9997004429165048,2.04587247090037
1,CIV,6,49.5,0.0014334671404076587,0.06723856907657622,0.493016475432504,1.5803142491799367
1,CIV,7,49.5,1.5202928341605074e-07,0.002552613302095463,0.807532623358181,1.6189089894226183
1,CIV,8,49.5,0.009345748074017283,0.14431028289977677,1.5801783023843736,1.7703922924429136
1,CIV,9,49.5,0.010065137822489283,0.7658485157170192,1.585499401470311,1.7397567111417536
1,CIV,10,49.5,0.00018975762345352845,0.02702334683061956,1.9073941924377424,1.7741561181491103
1,CIV,11,49.5,0.002752403655668458,0.06677076884400984,2.376568542284286,1.8136573218524321
1,CIV,12,49.5,0.024221287479604527,0.19896982725438087,0.7770238170855999,1.8933668458067912
1,CIV,13,49.5,0.0011545492395491053,0.04324917262783624,1.988656755968027,1.9902417127678176
1,CIV,14,49.5,0.0002748398953367273,0.1583424044960624,1.8882851268323846,2.0060654640761277
1,CIV,15,49.5,0.001762239054003511,0.052965572432553294,0.9827424030055418,2.0164455267620816
1,CIV,16,49.5,0.0013595797288047592,0.16260450056336603,1.573810058432311,1.3073974388519234
1,CIV,17,49.5,5.812249876056468e-05,0.009507985836675215,0.8941203019462811,1.48963894777568
1,CIV,18,49.5,0.00019864268368364755,0.1208280014817874,2.0582770806110986,2.2014839711879746
1,CIV,19,49.5,0.003211884883639576,0.1972892998807612,2.6087299463106306,1.6848295452291808
1,CIV,20,49.5,0.031574382786487415,0.2277334975043618,8.500874937299566,2.386803673405394
1,CIV,21,49.5,0.004059161000381766,0.26272831505935396,2.4664819580026784,1.7479036234792806
1,CIV,22,49.5,0.0014234037448511688,0.05420068167287111,4.383183341941256,1.9114504709831102
1,CIV,23,49.5,4.3460951912904045e-05,0.01937100943943859,0.5281194492796318,1.4911071174389836
1,CIV,24,49.5,0.004104444783215918,0.07811834115801522,2.8361816679437126,1.64338802331204
1,CIV,25,49.5,1.26617653846205e-05,0.006260753582520696,2.9072677860409106,1.6950526319791581
1,CIV,26,49.5,0.0005080614402014198,0.03180269206039947,1.4170421704848715,1.4843948020103275
1,CIV,27,49.5,0.0010935865306209514,0.04153845566981044,1.521200723274995,2.045113993349202
1,CIV,28,49.5,0.00012759774198100189,0.09329063284770986,1.2360684843751013,1.2637786711284158
1,CIV,29,49.5,7.487321391433537e-05,0.0202296470774907,1.876139262091635,1.83068468580521
1,CIV,30,49.5,0.0027920087542545233,0.0740583612175568,2.4022805573074826,1.7837969693421845
1,CIV,31,49.5,0.006558237806504674,0.18266752635670766,1.813223363778322,1.9782827487108303
1,CIV,32,49.5,0.0008949334598834343,0.06598448575941977,3.024537658023898,1.9090200267945636
1,CIV,33,49.5,1.7215491336975795e-05,0.010886573351442816,5.6766158063389796,1.4716321810123838
1,CIV,34,49.5,0.003615747669558962,0.10239809708514241,0.47175022401048067,1.390809977995741
1,CIV,35,49.5,0.0019371358087692716,0.16237761351360283,3.8224867754678877,2.882372311418817
1,CIV,36,49.5,8.55488255711067e-06,0.01135402874783811,2.41526931682487,1.5969800955478168
1,CIV,37,49.5,0.0033575279075028115,0.06654343556882458,3.4698067480041868,1.9249841911834686
